"","position","team","round"
"286",6,"fluminense",15
"287",7,"sao-paulo",15
"288",8,"flamengo",15
"289",9,"botafogo",15
"290",10,"santos",15
"291",11,"coritiba",15
"292",12,"avai",15
"293",13,"america-mineiro",15
"294",14,"red-bull-bragantino",15
"295",15,"ceara",15
"296",16,"atletico-goianiense",15
"297",17,"goias",15
"298",18,"cuiaba",15
"299",19,"juventude",15
"300",20,"fortaleza",15
"301",1,"palmeiras",16
"302",2,"corinthians",16
"303",3,"internacional",16
"304",4,"atletico-mineiro",16
"305",5,"fluminense",16
"306",6,"athletico-paranaense",16
"307",7,"sao-paulo",16
"308",8,"santos",16
"309",9,"flamengo",16
"310",10,"botafogo",16
"311",11,"red-bull-bragantino",16
"312",12,"goias",16
"313",13,"cuiaba",16
"314",14,"coritiba",16
"315",15,"america-mineiro",16
"316",16,"avai",16
"317",17,"ceara",16
"318",18,"atletico-goianiense",16
"319",19,"juventude",16
"320",20,"fortaleza",16
"321",1,"palmeiras",17
"322",2,"atletico-mineiro",17
"323",3,"corinthians",17
"324",4,"internacional",17
"325",5,"fluminense",17
"326",6,"athletico-paranaense",17
"327",7,"flamengo",17
"328",8,"red-bull-bragantino",17
"329",9,"sao-paulo",17
"330",10,"santos",17
"331",11,"botafogo",17
"332",12,"avai",17
"333",13,"goias",17
"334",14,"ceara",17
"335",15,"cuiaba",17
"336",16,"coritiba",17
"337",17,"america-mineiro",17
"338",18,"atletico-goianiense",17
"339",19,"fortaleza",17
"340",20,"juventude",17
"341",1,"palmeiras",18
"342",2,"corinthians",18
"343",3,"atletico-mineiro",18
"344",4,"fluminense",18
"345",5,"athletico-paranaense",18
"346",6,"internacional",18
"347",7,"flamengo",18
"348",8,"red-bull-bragantino",18
"349",9,"santos",18
"350",10,"sao-paulo",18
"351",11,"ceara",18
"352",12,"botafogo",18
"353",13,"avai",18
"354",14,"goias",18
"355",15,"cuiaba",18
"356",16,"coritiba",18
"357",17,"america-mineiro",18
"358",18,"atletico-goianiense",18
"359",19,"fortaleza",18
"360",20,"juventude",18
"361",1,"palmeiras",19
"362",2,"corinthians",19
"363",3,"fluminense",19
"364",4,"atletico-mineiro",19
"365",5,"athletico-paranaense",19
"366",6,"flamengo",19
"367",7,"internacional",19
"368",8,"red-bull-bragantino",19
"369",9,"santos",19
"370",10,"sao-paulo",19
"371",11,"botafogo",19
"372",12,"ceara",19
"373",13,"coritiba",19
"374",14,"goias",19
"375",15,"america-mineiro",19
"376",16,"avai",19
"377",17,"cuiaba",19
"378",18,"atletico-goianiense",19
"379",19,"juventude",19
"380",20,"fortaleza",19
"381",1,"palmeiras",20
"382",2,"corinthians",20
"383",3,"fluminense",20
"384",4,"athletico-paranaense",20
"385",5,"flamengo",20
"386",6,"internacional",20
"387",7,"atletico-mineiro",20
"388",8,"red-bull-bragantino",20
"389",9,"santos",20
"390",10,"sao-paulo",20
"391",11,"goias",20
"392",12,"botafogo",20
"393",13,"america-mineiro",20
"394",14,"ceara",20
"395",15,"coritiba",20
"396",16,"avai",20
"397",17,"cuiaba",20
"398",18,"fortaleza",20
"399",19,"atletico-goianiense",20
"400",20,"juventude",20
"401",1,"palmeiras",21
"402",2,"corinthians",21
"403",3,"fluminense",21
"404",4,"athletico-paranaense",21
"405",5,"flamengo",21
"406",6,"internacional",21
"407",7,"atletico-mineiro",21
"408",8,"red-bull-bragantino",21
"409",9,"santos",21
"410",10,"america-mineiro",21
"411",11,"sao-paulo",21
"412",12,"botafogo",21
"413",13,"goias",21
"414",14,"ceara",21
"415",15,"coritiba",21
"416",16,"avai",21
"417",17,"fortaleza",21
"418",18,"cuiaba",21
"419",19,"atletico-goianiense",21
"420",20,"juventude",21
"421",1,"palmeiras",22
"422",2,"flamengo",22
"423",3,"corinthians",22
"424",4,"fluminense",22
